% Learning Challenge  -  Dataset ARFF-Export
% ==========================================
%
% Dataset: Forest Fires
% Subset:  training
%
%
% Dataset Characteristics
% -----------------------
% dimensions:                  12
% number of training points:   259
% number of test points:       129
% number of validation points: 129
% number of classes:           4

@RELATION "Forest Fires--training"

@ATTRIBUTE x0 NUMERIC
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC

@ATTRIBUTE class { 0,1,2,3 }

@DATA
3,4,10,7,92.6,46.5,691.8,8.8,20.6,24,5.4,0,0
3,5,3,1,87.6,52.2,103.8,5,9,49,2.2,0,0
3,5,10,3,91.4,37.9,673.8,5.2,15.9,46,3.6,0,0
4,6,3,7,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0
4,6,9,4,93.7,80.9,685.2,17.9,17.6,42,3.1,0,0
3,6,9,1,90.9,126.5,686.5,7,15.6,66,3.1,0,0
2,5,9,1,90.9,126.5,686.5,7,21.9,39,1.8,0,1
1,2,8,3,95.5,99.9,513.3,13.2,23.3,31,4.5,0,1
5,4,3,1,90.1,39.7,86.6,6.2,13.2,40,5.4,0,1
8,3,9,2,84.4,73.4,671.9,3.2,24.2,28,3.6,0,1
2,2,8,2,94.8,108.3,647.1,17,17.4,43,6.7,0,1
6,5,6,5,92.5,56.4,433.3,7.1,23.2,39,5.4,0,1
5,4,9,5,94.3,85.1,692.3,15.9,20.1,47,4.9,0,1
1,5,9,6,93.4,145.4,721.4,8.1,29.6,27,2.7,0,1
7,4,8,7,94.8,108.3,647.1,17,16.4,47,1.3,0,1
2,4,9,6,93.4,145.4,721.4,8.1,28.6,27,2.2,0,1
2,2,8,3,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1
2,4,8,3,92.1,111.2,654.1,9.6,20.5,35,4,0,1
7,4,9,5,92.4,117.9,668,12.2,19,34,5.8,0,1
7,4,3,1,90.1,39.7,86.6,6.2,16.1,29,3.1,0,1
8,6,9,6,92.5,121.1,674.4,8.6,17.8,56,1.8,0,1
6,5,3,4,84.9,18.2,55,3,5.3,70,4.5,0,1
6,5,8,3,92.1,111.2,654.1,9.6,16.6,47,0.9,0,1
6,5,8,3,96,127.1,570.5,16.5,23.4,33,4.5,0,1
6,5,3,5,91.2,48.3,97.8,12.5,14.6,26,9.4,0,1
8,6,8,4,95.2,131.7,578.8,10.4,20.7,45,2.2,0,1
8,6,8,3,85.6,90.4,609.6,6.6,17.4,50,4,0,1
7,4,8,7,91.4,142.4,601.4,10.6,20.1,39,5.4,0,1
1,4,8,6,90.2,96.9,624.2,8.9,20.3,39,4.9,0,1
2,5,8,7,90.2,99.6,631.2,6.3,19.2,44,2.7,0,1
2,5,9,3,90.1,82.9,735.7,6.2,18.3,45,2.2,0,1
8,6,8,2,88.8,147.3,614.5,9,14.4,66,5.4,0,1
1,3,9,7,92.4,124.1,680.7,8.5,23.9,32,6.7,0,1
8,6,10,1,84.9,32.8,664.2,3,19.1,32,4,0,1
8,6,8,5,93.9,135.7,586.7,15.1,20.8,34,4.9,0,1
1,5,9,1,90.9,126.5,686.5,7,21,42,2.2,0,1
6,4,3,6,90.8,41.9,89.4,7.9,13.3,42,0.9,0,1
6,5,3,5,91.2,48.3,97.8,12.5,11.7,33,4,0,1
2,2,8,2,94.8,108.3,647.1,17,24.6,22,4.5,0,2
2,5,8,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0,2
4,5,9,4,92.9,137,706.4,9.2,21.5,15,0.9,0,2
3,4,9,2,91,129.5,692.6,7,13.9,59,6.3,0,2
2,4,9,1,63.5,70.8,665.3,0.8,22.6,38,3.6,0,2
7,4,2,7,83.9,8.7,32.1,2.1,8.8,68,2.2,0,2
4,5,9,4,92.9,137,706.4,9.2,22.1,34,1.8,0,2
2,2,8,6,93.5,139.4,594.2,20.3,22.9,31,7.2,0,2
7,5,9,2,91,129.5,692.6,7,20.7,37,2.2,0,2
4,4,10,6,90.6,43.7,686.9,6.7,18.4,25,3.1,0,2
7,4,8,6,93.5,139.4,594.2,20.3,5.1,96,5.8,0,2
4,4,3,6,91.7,35.8,80.8,7.8,17,27,4.9,0,2
1,3,9,1,88.6,91.8,709.9,7.1,12.4,73,6.3,0,2
8,6,8,7,90.2,99.6,631.2,6.3,16.2,59,3.1,0,2
3,4,9,5,93.3,141.2,713.9,13.9,18.6,49,3.6,0,2
8,6,8,6,92.2,81.8,480.8,11.9,20.1,34,4.5,0,2
4,6,9,7,93.5,149.3,728.6,8.1,28.3,26,3.1,0,2
4,4,9,3,92.9,133.3,699.6,9.2,26.4,21,4.5,0,2
9,4,9,2,84.4,73.4,671.9,3.2,24.3,36,3.1,0,3
8,6,8,7,91.4,142.4,601.4,10.6,19.6,41,5.8,0,3
6,5,9,6,92.5,121.1,674.4,8.6,25.1,27,4,0,3
6,3,4,3,88,17.2,43.5,3.8,15.2,51,2.7,0,0
3,4,8,7,91.8,175.1,700.7,13.8,26.8,38,6.3,0,1
2,4,8,3,92.2,91.6,503.6,9.6,20.7,70,2.2,0,1
8,6,8,3,93.1,157.3,666.7,13.5,28.7,28,2.7,0,0
8,5,8,3,93.1,157.3,666.7,13.5,24,36,3.1,0,1
7,4,8,4,91.9,109.2,565.5,8,21.4,38,2.7,0,1
2,5,8,4,87.5,77,694.8,5,22.3,46,4,0,0
3,4,8,6,91.8,170.9,692.3,13.7,20.6,59,0.9,0,0
2,4,8,1,93.6,97.9,542,14.4,28.3,32,4,0,1
2,4,8,5,91.6,112.4,573,8.9,21.4,42,3.1,0,1
6,3,8,5,91.1,141.1,629.1,7.1,19.3,39,3.6,0,1
4,4,8,5,94.3,167.6,684.4,13,21.8,53,3.1,0,1
6,5,8,2,94.3,131.7,607.1,22.7,19.4,55,4,0,1
2,2,8,2,92.1,152.6,658.2,14.3,23.7,24,3.1,0,0
3,4,8,2,92.1,152.6,658.2,14.3,21,32,3.1,0,0
2,5,8,2,92.1,152.6,658.2,14.3,20.2,47,4,0,1
8,6,12,3,84,27.8,354.6,5.3,5.1,61,8,0,2
4,4,12,1,85.4,25.4,349.7,2.6,4.6,21,8.5,0,1
6,5,12,2,85.4,25.4,349.7,2.6,5.1,24,8.5,0,2
6,3,2,7,84.9,27.5,353.5,3.4,4.2,51,4,0,0
3,4,2,3,86.9,6.6,18.7,3.2,8.8,35,3.1,0,1
7,4,7,6,91.6,104.2,474.9,9,24.2,32,1.8,0,0
2,5,7,6,91.6,104.2,474.9,9,18.7,53,1.8,0,0
7,6,7,2,93.1,180.4,430.8,11,26.9,28,5.4,0,2
8,6,6,7,90.4,89.5,290.8,6.4,15.4,45,2.2,0,0
8,6,6,3,91.2,147.8,377.2,12.7,19.6,43,4.9,0,0
6,5,6,6,53.4,71,233.8,0.4,10.6,90,2.7,0,0
6,5,6,1,90.4,93.3,298.1,7.5,19.1,39,5.4,0,1
6,5,5,6,85.1,28,113.8,3.5,11.3,94,4.9,0,0
7,4,9,7,89.6,84.1,714.3,5.7,17.1,53,5.4,0,1
2,4,9,7,92.4,105.8,758.1,9.9,16,45,1.8,0,0
2,4,9,7,92.4,105.8,758.1,9.9,24.9,27,2.2,0,0
6,3,9,7,92.4,105.8,758.1,9.9,24.8,28,1.8,0,2
6,5,9,3,92.6,115.4,777.1,8.8,24.3,27,4.9,0,0
4,4,9,3,92.6,115.4,777.1,8.8,19.7,41,1.8,0,1
4,4,9,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0,1
6,5,9,4,92.8,119,783.5,7.5,21.6,27,2.2,0,0
5,4,9,4,92.8,119,783.5,7.5,21.6,28,6.3,0,1
6,3,9,4,92.8,119,783.5,7.5,18.9,34,7.2,0,2
6,5,9,4,88.1,53.3,726.9,5.4,13.7,56,1.8,0,1
6,5,9,6,92.2,102.3,751.5,8.4,19.7,35,1.8,0,0
4,3,9,6,92.2,102.3,751.5,8.4,23.5,27,4,0,1
3,3,9,6,92.2,102.3,751.5,8.4,24.2,27,3.1,0,1
7,4,9,6,91.2,124.4,795.3,8.5,21.5,28,4.5,0,2
1,4,9,1,92.1,87.7,721.1,9.5,18.1,54,3.1,0,1
8,6,9,1,91.6,108.4,764,6.2,22.7,35,2.2,0,1
8,6,9,1,91.9,111.7,770.3,6.5,15.7,51,2.2,0,0
6,3,9,1,91.5,130.1,807.1,7.5,20.6,37,1.8,0,0
2,2,9,1,91.5,130.1,807.1,7.5,16.8,43,3.1,0,1
1,4,9,1,91.5,130.1,807.1,7.5,21.3,35,2.2,0,2
5,4,9,5,92.1,99,745.3,9.6,12.8,64,3.6,0,1
5,4,9,5,92.1,99,745.3,9.6,10.1,75,3.6,0,1
7,4,9,5,92.1,99,745.3,9.6,20.6,43,3.6,0,1
7,4,9,5,92.1,99,745.3,9.6,18.7,50,2.2,0,1
6,3,9,5,92.5,122,789.7,10.2,15.9,55,3.6,0,0
4,3,9,5,92.5,122,789.7,10.2,17.3,45,4,0,1
7,4,9,5,88.2,55.2,732.3,11.6,15.2,64,3.1,0,1
4,3,9,2,91.9,111.7,770.3,6.5,15.9,53,2.2,0,1
6,5,9,2,91.9,111.7,770.3,6.5,21.1,35,2.7,0,1
6,5,9,6,91.2,94.3,744.4,8.4,16.8,47,4.9,0,2
7,4,9,7,91,276.3,825.1,7.1,13.8,77,7.6,0,2
4,5,8,7,92,203.2,664.5,8.1,10.4,75,0.9,0,0
5,4,8,4,94.8,222.4,698.6,13.9,20.3,42,2.7,0,0
2,2,8,6,93.7,231.1,715.1,8.4,21.9,42,2.2,0,3
8,6,8,4,90.7,194.1,643,6.8,16.2,63,2.7,0,2
8,6,8,3,95.2,217.7,690,18,28.2,29,1.8,0,1
2,4,8,7,91.6,181.3,613,7.6,20.9,50,2.2,0,2
5,5,3,4,90.9,18.9,30.6,8,11.6,48,5.4,0,0
6,4,8,5,94.8,227,706.7,12,23.3,34,3.1,0,2
6,5,2,1,84.1,4.6,46.7,2.2,5.3,68,1.8,0,0
4,5,2,7,85,9,56.9,3.5,10.1,62,1.8,0,2
3,4,9,4,91.1,88.2,731.7,8.3,22.8,46,4,0,1
2,4,9,3,87.9,84.8,725.1,3.7,21.8,34,2.2,0,1
2,2,8,2,94.6,212.1,680.9,9.5,27.9,27,2.2,0,0
6,5,9,6,87.1,291.3,860.6,4,17,67,4.9,0,1
4,5,2,6,84.7,8.2,55,2.9,14.2,46,4,0,0
1,4,7,2,92.3,96.2,450.2,12.1,23.4,31,5.4,0,0
7,4,2,5,84.6,3.2,43.6,3.3,8.2,53,9.4,0,1
9,4,7,1,92.3,92.1,442.1,9.8,22.8,27,4.5,0,1
7,5,8,6,93.7,231.1,715.1,8.4,26.4,33,3.6,0,0
5,4,8,7,93.6,235.1,723.1,10.1,24.1,50,4,0,0
8,6,8,4,94.8,222.4,698.6,13.9,27.5,27,4.9,0,3
6,3,7,2,92.7,164.1,575.8,8.9,26.3,39,3.1,0,1
2,4,8,7,92,203.2,664.5,8.1,24.9,42,5.4,0,1
2,5,8,7,91.6,181.3,613,7.6,24.8,36,4,0,1
8,6,8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0,1
2,2,8,4,91.6,248.4,753.8,6.3,20.4,56,2.2,0,0
3,4,8,7,91.6,181.3,613,7.6,24.6,44,4,0,1
8,6,8,4,94.8,222.4,698.6,13.9,23.9,38,6.7,0,0
1,4,8,5,90.6,269.8,811.2,5.5,22.2,45,3.6,0,0
8,6,8,1,92.1,207,672.6,8.2,26.8,35,1.3,0,1
8,6,8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0,0
2,5,8,6,93.7,231.1,715.1,8.4,23.6,53,4,0,1
6,5,4,1,87.9,24.9,41.6,3.7,10.9,64,3.1,0,1
2,5,9,5,90.3,290,855.3,7.4,16.2,58,3.6,0,1
6,5,8,7,92,203.2,664.5,8.1,19.1,70,2.2,0,0
3,4,3,3,93.4,17.3,28.3,9.9,8.9,35,8,0,0
4,5,8,3,95.2,217.7,690,18,23.4,49,5.4,0,1
3,4,8,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0,0
7,4,8,6,91.6,273.8,819.1,7.7,15.5,72,8,0,1
8,6,8,6,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0
1,4,9,7,91,276.3,825.1,7.1,14.5,76,7.6,0,1
6,5,2,2,75.1,4.4,16.2,1.9,4.6,82,6.3,0,1
6,5,3,1,87.2,15.1,36.9,7.1,10.2,45,5.8,0,1
8,3,6,1,88.2,96.2,229,4.7,14.3,79,4,0,1
9,4,6,6,90.5,61.1,252.6,9.4,24.5,50,3.1,0,2
4,3,6,4,93,103.8,316.7,10.8,26.4,35,2.7,0,2
4,3,7,4,93.5,85.3,395,9.9,27.2,28,1.3,0,1
4,3,7,7,93.7,101.3,423.4,14.7,26.1,45,4,0,1
7,4,7,7,93.7,101.3,423.4,14.7,18.2,82,4.5,0,1
7,4,7,1,89.2,103.9,431.6,6.4,22.6,57,4.9,0,3
2,5,8,7,94.9,130.3,587.1,14.1,33.1,25,4,0,2
2,4,8,1,95,135.5,596.3,21.3,30.6,28,3.6,0,1
5,4,8,2,95.1,141.3,605.8,17.7,26.4,34,3.6,0,2
4,4,8,2,95.1,141.3,605.8,17.7,19.4,71,7.6,0,2
1,3,8,5,95.9,158,633.6,11.3,32.4,27,2.2,0,0
1,3,8,5,95.9,158,633.6,11.3,27.5,29,4.5,0,2
6,6,8,6,96,164,643,14,30.8,30,4.9,0,1
4,5,8,1,96.2,175.5,661.8,16.8,32.6,26,3.1,0,1
3,4,8,2,96.1,181.1,671.2,14.3,32.3,27,2.2,0,2
8,6,8,2,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0
4,4,8,2,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0
4,3,8,3,94.5,139.4,689.1,20,28.9,29,4.9,0,2
2,4,8,5,91,166.9,752.6,7.1,25.9,41,3.6,0,0
1,2,8,5,91,166.9,752.6,7.1,25.9,41,3.6,0,0
5,4,8,5,91,166.9,752.6,7.1,21.1,71,7.6,1.4,1
2,4,8,7,81.6,56.7,665.6,1.9,21.9,71,5.8,0,2
7,4,8,7,81.6,56.7,665.6,1.9,21.2,70,6.7,0,2
1,4,8,6,94.4,146,614.7,11.3,25.6,42,4,0,0
